Series_Title,Released_Year,Runtime,IMDB_Rating,Overview,Meta_score,No_of_Votes,Gross,overview_tokens,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Film-Noir,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,Cert_16,Cert_A,Cert_Approved,Cert_G,Cert_GP,Cert_PG,Cert_PG-13,Cert_Passed,Cert_R,Cert_TV-14,Cert_TV-MA,Cert_TV-PG,Cert_U,Cert_U/A,Cert_UA,Cert_Unrated,Director_Group,Star1_Group,Star2_Group,Star3_Group,Star4_Group
Forrest Gump,1994.0,142,8.8,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",82.0,1809221,"330,252,182","['presidency', 'kennedy', 'johnson', 'event', 'vietnam', 'watergate', 'historical', 'event', 'unfold', 'perspective', 'alabama', 'man', 'iq', 'desire', 'reunite', 'childhood', 'sweetheart']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,3,4,4,4
"Il buono, il brutto, il cattivo",1966.0,161,8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,90.0,688390,"6,100,000","['bounty', 'hunt', 'scam', 'join', 'man', 'uneasy', 'alliance', 'race', 'find', 'fortune', 'gold', 'bury', 'remote', 'cemetery']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,2,4,4,4
The Lord of the Rings: The Two Towers,2002.0,179,8.7,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",87.0,1485555,"342,551,365","['frodo', 'sam', 'edge', 'close', 'mordor', 'help', 'shifty', 'gollum', 'divide', 'fellowship', 'make', 'stand', 'sauron', 'new', 'ally', 'saruman', 'horde', 'isengard']",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,4,4,4,4
The Matrix,1999.0,136,8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",73.0,1676426,"171,479,930","['beautiful', 'stranger', 'lead', 'computer', 'hacker', 'neo', 'forbidding', 'underworld', 'discover', 'shocking', 'truth', 'life', 'know', 'elaborate', 'deception', 'evil', 'cyber', 'intelligence']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,4,4,4,4
Goodfellas,1990.0,146,8.7,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",90.0,1020727,"46,836,394","['story', 'henry', 'hill', 'life', 'mob', 'cover', 'relationship', 'wife', 'karen', 'hill', 'mob', 'partner', 'jimmy', 'conway', 'tommy', 'devito', 'italian', 'american', 'crime', 'syndicate']",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,3,4,4,4
Star Wars: Episode V - The Empire Strikes Back,1980.0,124,8.7,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",82.0,1159315,"290,475,067","['rebels', 'brutally', 'overpower', 'empire', 'ice', 'planet', 'hoth', 'luke', 'skywalker', 'begin', 'jedi', 'training', 'yoda', 'friend', 'pursue', 'darth', 'vader', 'bounty', 'hunter', 'name', 'boba', 'fett', 'galaxy']",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,4,4,4,4
One Flew Over the Cuckoo's Nest,1975.0,133,8.7,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",83.0,918088,"112,000,000","['criminal', 'plead', 'insanity', 'admit', 'mental', 'institution', 'rebel', 'oppressive', 'nurse', 'rally', 'scared', 'patient']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,4,4,4,4
Hamilton,2020.0,160,8.6,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",90.0,55291,9442254.2,"['real', 'life', 'america', 'foremost', 'found', 'father', 'secretary', 'treasury', 'alexander', 'hamilton', 'capture', 'live', 'broadway', 'richard', 'rodgers', 'theater', 'original', 'broadway', 'cast']",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,4,4,4,4,4
Gisaengchung,2019.0,132,8.6,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,96.0,552778,"53,367,844","['greed', 'class', 'discrimination', 'threaten', 'newly', 'form', 'symbiotic', 'relationship', 'wealthy', 'park', 'family', 'destitute', 'kim', 'clan']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,3,4,4,4
Soorarai Pottru,2020.0,153,8.6,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",78.03672787979967,54995,9421434.6,"['nedumaaran', 'rajangam', 'maara', 'set', 'common', 'man', 'fly', 'process', 'take', 'world', 'capital', 'intensive', 'industry', 'enemy', 'stand', 'way']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,4,4,4,4
Interstellar,2014.0,169,8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,74.0,1512360,"188,020,017","['team', 'explorer', 'travel', 'wormhole', 'space', 'attempt', 'ensure', 'humanity', 'survival']",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,4,3,4,4
Cidade de Deus,2002.0,130,8.6,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",79.0,699256,"7,563,397","['slum', 'rio', 'kid', 'path', 'diverge', 'struggle', 'photographer', 'kingpin']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,4,4,4,4
Sen to Chihiro no kamikakushi,2001.0,125,8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",96.0,651376,"10,055,859","['family', 'suburb', 'sullen', 'year', 'old', 'girl', 'wander', 'world', 'rule', 'god', 'witch', 'spirit', 'human', 'change', 'beast']",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,4,4,4,4
Saving Private Ryan,1998.0,169,8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",91.0,1235804,"216,540,909","['follow', 'normandy', 'landings', 'group', 'soldier', 'enemy', 'line', 'retrieve', 'paratrooper', 'brother', 'kill', 'action']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3,3,4,4,4
The Green Mile,1999.0,189,8.6,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",61.0,1147794,"136,801,374","['life', 'guard', 'death', 'row', 'affect', 'charge', 'black', 'man', 'accuse', 'child', 'murder', 'rape', 'mysterious', 'gift']",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,3,4,4,4
La vita è bella,1997.0,116,8.6,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",59.0,623629,"57,598,247","['open', 'minded', 'jewish', 'librarian', 'son', 'victim', 'holocaust', 'use', 'perfect', 'mixture', 'humor', 'imagination', 'protect', 'son', 'danger', 'camp']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,4,4,4,4
Se7en,1995.0,127,8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",65.0,1445096,"100,125,643","['detective', 'rookie', 'veteran', 'hunt', 'serial', 'killer', 'use', 'seven', 'deadly', 'sin', 'motive']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,3,3,4,4
The Silence of the Lambs,1991.0,118,8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",85.0,1270197,"130,742,922","['young', 'cadet', 'receive', 'help', 'incarcerated', 'manipulative', 'cannibal', 'killer', 'help', 'catch', 'serial', 'killer', 'madman', 'skin', 'victim']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,4,4,4,4
Star Wars,1977.0,121,8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",90.0,1231473,"322,740,140","['luke', 'skywalker', 'join', 'force', 'jedi', 'knight', 'cocky', 'pilot', 'wookiee', 'droid', 'save', 'galaxy', 'empire', 'world', 'destroy', 'battle', 'station', 'attempt', 'rescue', 'princess', 'leia', 'mysterious', 'darth', 'vader']",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,4,4,4,4
Seppuku,1962.0,133,8.6,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",85.0,42004,7603232.8,"['ronin', 'request', 'seppuku', 'feudal', 'lord', 'palace', 'tell', 'brutal', 'suicide', 'ronin', 'previously', 'visit', 'reveal', 'past', 'intertwine', 'challenge', 'clan', 'integrity']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,4,4,4,4
Shichinin no samurai,1954.0,207,8.6,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,98.0,315744,"269,061","['poor', 'village', 'attack', 'bandit', 'recruit', 'seven', 'unemployed', 'samurai', 'help', 'defend']",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,4,4,4,4
It's a Wonderful Life,1946.0,130,8.6,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,89.0,405801,11594181.6,"['angel', 'send', 'heaven', 'help', 'desperately', 'frustrated', 'businessman', 'show', 'life', 'like', 'exist']",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4,4,4,4,4
Joker,2019.0,122,8.5,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",59.0,939252,"335,451,311","['gotham', 'city', 'mentally', 'troubled', 'comedian', 'arthur', 'fleck', 'disregard', 'mistreat', 'society', 'embark', 'downward', 'spiral', 'revolution', 'bloody', 'crime', 'path', 'bring', 'face', 'face', 'alter', 'ego', 'joker']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,3,4,4,4
Whiplash,2014.0,106,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,88.0,717585,"13,092,000","['promising', 'young', 'drummer', 'enroll', 'cut', 'throat', 'music', 'conservatory', 'dream', 'greatness', 'mentor', 'instructor', 'stop', 'realize', 'student', 'potential']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,4,4,4,4
The Intouchables,2011.0,112,8.5,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",57.0,760360,"13,182,281","['quadriplegic', 'paraglide', 'accident', 'aristocrat', 'hire', 'young', 'man', 'project', 'caregiver']",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,4,4,4,4
The Prestige,2006.0,130,8.5,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",66.0,1190259,"53,089,891","['tragic', 'accident', 'stage', 'magician', 'engage', 'battle', 'create', 'ultimate', 'illusion', 'sacrifice', 'outwit']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,4,4,3,4
The Departed,2006.0,151,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,85.0,1189773,"132,384,315","['undercover', 'cop', 'mole', 'police', 'attempt', 'identify', 'infiltrate', 'irish', 'gang', 'south', 'boston']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,4,4,4,4
The Pianist,2002.0,150,8.5,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,85.0,729603,"32,572,577","['polish', 'jewish', 'musician', 'struggle', 'survive', 'destruction', 'warsaw', 'ghetto', 'world', 'war', 'ii']",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2,3,4,4,4
Gladiator,2000.0,155,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,67.0,1341460,"187,705,427","['roman', 'general', 'set', 'exact', 'vengeance', 'corrupt', 'emperor', 'murder', 'family', 'send', 'slavery']",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3,3,4,4,4
American History X,1998.0,119,8.5,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,62.0,1034705,"6,719,864","['neo', 'nazi', 'skinhead', 'try', 'prevent', 'young', 'brother', 'go', 'wrong', 'path']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3,1,4,4,4
The Usual Suspects,1995.0,106,8.5,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",77.0,991208,"23,341,568","['sole', 'survivor', 'tell', 'twisty', 'event', 'lead', 'horrific', 'gun', 'battle', 'boat', 'begin', 'criminal', 'meet', 'seemingly', 'random', 'police', 'lineup']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,4,3,4,4
Léon,1994.0,110,8.5,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",64.0,1035236,"19,501,238","['mathilda', 'year', 'old', 'girl', 'reluctantly', 'take', 'léon', 'professional', 'assassin', 'family', 'murder', 'unusual', 'relationship', 'form', 'protégée', 'learn', 'assassin', 'trade']",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,4,3,4,4
The Lion King,1994.0,88,8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",88.0,942045,"422,783,777","['lion', 'prince', 'simba', 'father', 'target', 'bitter', 'uncle', 'want', 'ascend', 'throne']",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,4,4,4,4
Terminator 2: Judgment Day,1991.0,137,8.5,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",75.0,995506,"204,843,350","['cyborg', 'identical', 'fail', 'kill', 'sarah', 'connor', 'protect', 'teenage', 'son', 'john', 'connor', 'advanced', 'powerful', 'cyborg']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,3,4,4,4
Nuovo Cinema Paradiso,1988.0,155,8.5,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,80.0,230763,"11,990,401","['filmmaker', 'recall', 'childhood', 'fall', 'love', 'picture', 'cinema', 'home', 'village', 'form', 'deep', 'friendship', 'cinema', 'projectionist']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,4,4,4,4
Hotaru no haka,1988.0,89,8.5,A young boy and his little sister struggle to survive in Japan during World War II.,94.0,235231,8198491.0,"['young', 'boy', 'little', 'sister', 'struggle', 'survive', 'japan', 'world', 'war', 'ii']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,4,4,4,4
Back to the Future,1985.0,116,8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",87.0,1058081,"210,609,762","['marty', 'mcfly', 'year', 'old', 'high', 'school', 'student', 'accidentally', 'send', 'thirty', 'year', 'past', 'time', 'travel', 'delorean', 'invent', 'close', 'friend', 'eccentric', 'scientist', 'doc', 'brown']",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,4,2,4,4
Once Upon a Time in the West,1968.0,165,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,80.0,302844,"5,321,508","['mysterious', 'stranger', 'harmonica', 'join', 'force', 'notorious', 'desperado', 'protect', 'beautiful', 'widow', 'ruthless', 'assassin', 'work', 'railroad']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,4,4,4,4
Psycho,1960.0,109,8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",97.0,604211,"32,000,000","['phoenix', 'secretary', 'embezzle', 'employer', 'client', 'go', 'run', 'check', 'remote', 'motel', 'run', 'young', 'man', 'domination', 'mother']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,4,4,4,4
Casablanca,1942.0,102,8.5,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,100.0,522093,"1,024,560","['cynical', 'expatriate', 'american', 'cafe', 'owner', 'struggle', 'decide', 'help', 'lover', 'fugitive', 'husband', 'escape', 'nazis', 'french', 'morocco']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,2,4,4,4
Modern Times,1936.0,87,8.5,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,96.0,217881,"163,245","['tramp', 'struggle', 'live', 'modern', 'industrial', 'society', 'help', 'young', 'homeless', 'woman']",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,4,4,4,4,4
City Lights,1931.0,87,8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",99.0,167839,"19,181","['aid', 'wealthy', 'erratic', 'tippler', 'dewy', 'eyed', 'tramp', 'fall', 'love', 'sightless', 'flower', 'girl', 'accumulate', 'money', 'able', 'help', 'medically']",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,4,4,4,4,4
Capharnaüm,2018.0,126,8.4,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",75.0,62635,"1,661,096","['serve', 'year', 'sentence', 'violent', 'crime', 'year', 'old', 'boy', 'sue', 'parent', 'neglect']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,4,4,4,4
